Review,Hasil Perbandingan
"['nasi', 'gorengnya', 'aja', 'pelayanannya', 'buruk', 'teh', 'botol', 'didiemin', 'dilirikin', 'aja', 'ma', 'masnyakalo', 'udah', 'cape', 'kerja', 'attitudenya', 'customer', 'bagus', 'karna', 'customer', 'bayar']",Negative
"['tempatnya', 'enak', 'bwt', 'nongkrong', 'makanannya', 'enak', 'enak']",Positive
"['pusat', 'kota', 'nyaman', 'bersih']",Positive
"['makan', 'orang', 'rb', 'menu', 'udang', 'secui', 'gulai', 'ubi', 'secuil', 'ayam', 'paha', 'potong', 'telur', 'dadar', 'n', 'lupa', 'harga', 'nasi', 'fantastis', 'note', 'minum', 'sdh', 'bawa', 'ya', 'over', 'price', 'harga', 'makanan', 'serasa', 'dirampok', 'woiibuset', 'dah']",Negative
"['adeeemmm', 'toilet', 'belanja', 'oleholeh', 'mushola', 'pokoknya', 'betah', 'nongkrong', 'seharian']",Positive
"['kelas', 'menengah', 'kebawah', 'kayanya', 'kemahalan']",Neutral
"['suka', 'jam', 'nongkrong', 'meeting', 'lengkap', 'menu', 'makan', 'minumnya']",Positive
"['makanan', 'so', 'far', 'enak', 'pelayanan', 'bad', 'banget', 'tempatnya', 'lalat', 'air', 'wastafel', 'mati', 'ambil', 'otomatis', 'bak', 'air', 'disediakan', 'ketepatan', 'pramusaji', 'buku', 'menunya', 'banget', 'duduk', 'menit', 'ownernya', 'dilihatin', 'doang', 'nyamperin', 'dimeja', 'kasir', 'langsung', 'disuruh', 'duduk', 'owner', 'berumur', 'pdhal', 'pesan', 'x', 'nyuruh', 'duduknya', 'seakan', 'maksa', 'banget', 'variasi', 'harga', 'susu', 'coklat', 'mahal', 'k', 'cm', 'sekedar', 'skm', 'hambar', 'menu', 'nota', 'pembelian', 'dicoret', 'makanan', 'habis', 'makan', 'ditempat', 'biat', 'ditake', 'away', 'dihitung', 'x', 'cm', 'pesan', 'resto', 'ramai', 'pakai', 'meskin', 'sistem', 'penghitung', 'mesin', 'saran', 'lg', 'pakai', 'nota', 'manual', 'biar', 'rancu', 'saran', 'mohon', 'memperhatikan', 'nilai', 'barang', 'dijual', 'disajikan', 'biasakan', 'pramusaji', 'sigap', 'tolong', 'menghormati', 'penjualpembeli', 'idup', 'berbasis', 'pembeli', 'raja', 'pakailah', 'pedoman', 'simbiosis', 'mutualisme', 'nota', 'manual', 'diganti', 'sistem', 'mesin', 'biar', 'rapi', 'kesalahpahaman', 'jauh', 'surabaya', 'singgah', 'puas', 'kecewa', 'sistem', 'pelayanannya']",Negative
"['macam', 'menu', 'camilan', 'harga', 'murah', 'luas', 'parkiran', 'luas']",Negative
"['stand', 'makanan', 'hotel', 'ak', 'jalan', 'lokasi', 'arah']",Neutral
"['warung', 'makan', 'khas', 'sunda', 'tradisi', 'makan', 'ala', 'prasmanan']",Neutral
"['satenya', 'fresh', 'empuk', 'banget', 'gulai', 'kambingnya', 'enak', 'rekomen', 'suka', 'sate', 'kambing']",Positive
"['diantar', 'teman', 'ceritanya', 'kesini', 'langsung', 'teman', 'keluarga', 'jl', 'dago', 'bandung', 'enakenak', 'suka', 'coklatnya', 'meleleh', 'pa', 'digigit', 'yummy']",Positive
"['masakan', 'lumayan']",Neutral
"['lengkap', 'somay', 'e', 'campur', 'bakso', 'you', 'name', 'it', 'all', 'them', 'available']",Neutral
"['enak', 'doi', 'aja', 'abis', 'porsi']",Positive
"['ny', 'nyaman', 'nongki', 'harga', 'ny', 'terjangkau', 'tmpt', 'ny', 'strategis', 'layanan', 'makanannya']",Positive
"['tiket', 'masuk', 'k', 'ditukar', 'minuman', 'wahana', 'nyobain', 'rainbow', 'slide', 'seru', 'harga', 'x', 'main', 'k', 'pilihan', 'all', 'day', 'jasa', 'foto', 'gitu', 'milih', 'soft', 'file', 'dicetak', 'harganya', 'k', 'booth']",Positive
"['nyaman', 'tersedia', 'makanan', 'nusantara', 'harga', 'relatif', 'terjangkau']",Positive
"['harga', 'mahal', 'porsi', 'kondimen', 'sate', 'dipatok', 'harga', 'rbtusuk', 'tempe', 'goreng', 'perkedel', 'bandrol', 'harga', 'rb']",Negative
['aja'],Neutral
"['tmpt', 'nongkrong', 'asik', 'bawa', 'makanan', 'banget', 'bawa', 'minuman', 'kera', 'aja', 'ma', 'ma', 'disana', 'makan', 'martabak', 'markobar', 'makannya', 'bawa', 'kedalam', 'bober', 'banget', 'asik', 'live', 'music']",Positive
"['tempatnya', 'nyaman', 'pilihan', 'menunya', 'lengkap', 'kopi', 'susu', 'coklat', 'cincau']",Neutral
"['mayan', 'byk', 'makanan', 'lain', 'tmpt', 'main', 'bocahnya', 'hrsnya', 'aja']",Positive
"['seru', 'bagus', 'pilihan', 'makanan', 'pengen', 'kesini']",Positive
"['martabak', 'populer', 'bandung', 'setau', 'tempatnya', 'enak', 'dn', 'nyaman']",Positive
"['milkshake', 'mariemar', 'favorit', 'kuu', 'bober', 'hit', 'bandung', 'live', 'music', 'duduknya', 'lesehannya']",Positive
"['ngopi', 'jaman', 'belandabangunan', 'jadultapi', 'enakeun', 'nongki', 'harga', 'terjakauaku', 'pesen', 'roti', 'bakar', 'eskopisusulumayan', 'enak']",Positive
"['pengalaman', 'kali', 'gajian']",Neutral
"['roti', 'selai', 'srikaya', 'emang', 'cocok', 'si', 'breakfast', 'comfort', 'food', 'roti', 'empuk', 'srikaya', 'so', 'so']",Positive
['name'],Neutral
"['produksi', 'makanannya', 'fresh', 'in', 'the', 'oven']",Positive
"['ramai', 'jam', 'jam']",Neutral
"['maknyooos', 'harga', 'terjangkau']",Neutral
"['nyaman', 'cozy', 'mudah', 'diakses', 'makanannya', 'enak', 'dipakai', 'kajian']",Positive
"['mahal', 'dr']",Neutral
"['warteg', 'dibalut', 'style', 'mevaah']",Neutral
"['aneka', 'kuliner']",Neutral
"['naikskrg', 'boxya', 'bgtlahya', 'angetyg', 'crispy', 'da', 'dingin', 'enakenak', 'tahunya', 'd', 'goreng']",Negative
"['hidden', 'gem', 'bandung', 'coklat', 'melted', 'lembutnya', 'tekstur', 'kue', 'patut', 'dicoba']",Neutral
"['salah', 'makan', 'legend', 'bandungdari', 'jaman', 'belandanuansa', 'rumah', 'jadul', 'renovasiuntuk', 'menu', 'enakterutama', 'menu', 'roti', 'enakuntuk', 'makanan', 'berat']",Positive
"['masuk', 'jam', 'pulang', 'jam', '½', 'rekor', 'ngopi', 'terlama']",Neutral
"['nongkrong', 'luas', 'cozy', 'parkir', 'motor', 'mobil', 'luas', 'menu', 'fnb', 'variatif', 'harga', 'murmer', 'standar']",Neutral
"['duludulu', 'sate', 'full', 'daging', 'juicy', 'makan', 'sate', 'cepet', 'biar', 'terjaga', 'empuknya']",Positive
"['overrated', 'mahal', 'lg', 'kaget', 'makan', 'berdua', 'tau', 'bayarnya', 'ampir', 'k', 'makan', 'nasi', 'uduk']",Negative
"['martabaknya', 'enak', 'varian', 'makanan', 'sayang', 'lahan', 'parkir']",Positive
"['kriuknya', 'kera']",Negative
"['terbaik', 'awal', 'hit', 'jastip', 'teman', 'kerjanya', 'lokasi', 'enak', 'gak', 'rugi', 'jauh', 'jastip']",Positive
"['tempatnya', 'enak', 'nugas', 'wifi', 'kenceng', 'jam', 'makanan', 'rada', 'mahal', 'anak', 'kosan', 'hahaha', 'rb', 'an']",Positive
['sni'],Neutral
"['enak', 'teksturnya', 'lembut', 'banget', 'beda', 'ama', 'recommends', 'banget', 'harga', 'ribu', 'rupiah', 'mentah', 'perbungkus', 'ribu', 'rupiah', 'digoreng', 'lupa', 'isi', 'potong', 'sorry']",Positive
"['kesini', 'musim', 'liburan', 'parkirnya', 'luas', 'jam', 'ga', 'masuk', 'udah', 'padat', 'pengunjung', 'udah', 'aja']",Positive
"['salah', 'sate', 'kambing', 'terenak', 'dagingnya', 'lembut', 'lemaknya', 'meleleh', 'mulut', 'saran', 'pesannya', 'langsung', 'terenak', 'sate', 'selsai', 'dipanggang']",Positive
"['makan', 'komplit', 'daerah', 'burangrang', 'martabaknya', 'enak', 'dr', 'jaman', 'b', 'mempertahankan']",Positive
"['cocok', 'liburan', 'keluarga', 'htm', 'k', 'ditukar', 'minuman', 'pilih', 'kopi', 'milo', 'e', 'jeruk', 'wahana', 'dipilih', 'perahu', 'danau', 'makan', 'kelinci', 'bayar']",Negative
"['lumayan', 'nyaman', 'ngasih', 'masukan', 'daging', 'blm', 'd', 'prose', 'jgn', 'terbuka', 'nyakebetulan', 'sya', 'makan', 'dr', 'tmpat', 'daging', 'kambing', 'd', 'gantung', 'jd', 'bikin', 'eneg', 'pa', 'lg', 'makan', 'sate', 'krn', 'keliatan', 'daging']",Positive
"['nongkrong', 'cocok', 'muda', 'mudi', 'tempatnya', 'rame', 'lirik', 'kanan', 'kiri', 'cari', 'mangsa']",Neutral
"['tempatnya', 'pemancar', 'sebelah', 'lapangan', 'boibalan']",Negative
"['sesuai', 'asli', 'menu', 'bukber']",Positive
"['live', 'musicnya', 'anyway', 'tempatnya', 'enak', 'enak', 'ac', 'ya', 'kak', 'ruangan', 'gitu', 'ber', 'ac', 'smoking', 'area', 'gitu', 'umhh']",Positive
"['bukok', 'asin', 'gak', 'kya', 'pesen', 'hadeeeuh']",Negative
"['tempatnya', 'nyamanenak', 'banget', 'ngumpul', 'bareng', 'temen', 'sekedar', 'istirahatbersihpelayanan', 'ramahminumannya', 'standar', 'ajawcnya', 'nyaman']",Positive
"['keren', 'nyaman']",Positive
"['tempatnya', 'beribah', 'dr', 'jln', 'utama', 'bergabung', 'hotel', 'best', 'western', 'soes', 'ueeenak']",Positive
"['harganya', 'mahal', 'ga', 'sebanding', 'porsi', 'ga', 'senak']",Negative
['mahaaalll'],Neutral
"['kenangan', 'asoyyyy']",Neutral
"['makanan', 'enak', 'pelayanan', 'konsumen', 'bintang', 'menumpahkan', 'kuah', 'kta', 'maaf', 'menyerahkan', 'makanan', 'konsumen', 'anak', 'fail', 'pelayanannya']",Negative
"['dianjurkan', 'memesan', 'menu', 'warung']",Neutral
"['strategis', 'mencari', 'makanan', 'sembari', 'belanja']",Neutral
"['indomie', 'terlama', 'dipesankapokmungkin', 'well', 'manage', 'delivery', 'ordernya']",Positive
"['martabak', 'legenda', 'bandung', 'buka', 'cabang', 'kota', 'enak', 'bandung', 'mengklaim']",Positive
"['nongkrong', 'cocok', 'anak²', 'bandung']",Neutral
"['le', 'talking', 'kerja', 'pa', 'rame', 'pelanggan', 'standby', 'manggil', 'suara', 'kalah', 'kenceng', 'suara', 'rumpiannya', 'manner', 'pelayannya', 'diperbaiki', 'kritik', 'jelas²', 'salah']",Negative
"['tempatnya', 'mojok', 'pdhl', 'b', 'masuk', 'dr', 'dpn', 'diarahin', 'masuk', 'le', 'grande', 'harga', 'jajanan', 'pasarnya', 'msh', 'make', 'sense']",Neutral
"['warung', 'kopi', 'layak', 'kunjungi', 'bandung', 'letaknya', 'alunalun', 'kota', 'bandung', 'favorit', 'makanan', 'roti', 'srikaya', 'dipadukan', 'e', 'kopi', 'susu', 'bikin']",Positive
"['sate', 'kambingnya', 'oke', 'habiss', 'mantaps']",Positive
"['enak', 'variasi', 'soes', 'keringnya', 'beli']",Positive
"['beda', 'kaya', 'bau']",Neutral
"['mah', 'pesanannya', 'lma', 'nyampe', 'abang', 'gojeknya', 'kesel', 'nungguin', 'ngga', 'kasih', 'sambel', 'pesenan', 'ayamnya', 'ga', 'sesuai', 'tolong', 'kalo', 'layanin', 'beli', 'tuh', 'teliti', 'makan', 'ayamnya', 'doang', 'ga', 'sambelnya']",Negative
"['wisata', 'nyaman', 'wisata', 'keluarga', 'wahana', 'disediakan', 'pengelola', 'wahana', 'air', 'becak', 'mini', 'taman', 'kelinci', 'rainbow', 'garden', 'wisata', 'kota', 'mini', 'fasilitas', 'tersedia', 'pengunjung']",Positive
"['kondisi', 'lapar', 'ditengah', 'malam', 'membantu', 'harganya', 'tergolong', 'mahal', 'golongan', 'nasi', 'rames', 'fantastis']",Negative
['mayan'],Neutral
"['terrible', 'meja', 'bau', 'banget', 'lengket', 'kali', 'pindah', 'pelayan', 'bikin', 'tepok', 'jidat', 'pokoknya', 'makanan', 'ga', 'enakenaknya', 'better', 'skip', 'jualan', 'makanan', 'jualan', 'kursi', 'begadang', 'much', 'better']",Positive
"['bakso', 'enak', 'minuman', 'enak', 'harga', 'gak', 'mahal']",Positive
"['tempatnya', 'adem', 'asri', 'enak', 'meet', 'up', 'bareng', 'rekan', 'kerja', 'sahabat', 'keluarga', 'makanan', 'minuman', 'beraneka', 'ragamciri', 'khas', 'banget']",Positive
"['baso', 'kenyal', 'perbesar', 'pengunjung', 'nyaman', 'tq']",Neutral
"['lumayan', 'kue', 'baloknya', 'sayang', 'beli', 'box', 'orang', 'cepet', 'banget', 'abisnya', 'kesana', 'jam', 'an']",Neutral
"['kuah', 'hambar', 'lupa', 'dikasi', 'garam']",Negative
"['parkiran', 'lumayan', 'luas', 'cuman', 'becek', 'dalemnya', 'bersih']",Positive
"['susu', 'lembang', 'komplek', 'pusat', 'daerah', 'lembang']",Neutral
"['suasananya', 'nyaman', 'tenang', 'enak', 'ngobrol', 'harga', 'sebanding', 'd', 'dapet']",Positive
"['makanan', 'minum', 'pesan', 'dibelakang']",Neutral
"['enak', 'bangeeet', 'sayang', 'blm', 'toiletnya']",Negative
"['live', 'music', 'fasilitas', 'nobar', 'sayang', 'asap', 'rokok', 'ga', 'cocok', 'hamil', 'sirkulasi', 'udara', 'oke']",Positive
"['tempatnya', 'bersih', 'sayang', 'kasirnya', 'jutek', 'nglayaninya']",Negative
"['ga', 'komplit', 'kartika', 'sari']",Neutral
"['bagus', 'adem', 'suasana', 'ramah', 'mkn', 'nan', 'bagus', 'wajib', 'kunjungi']",Positive
"['enak', 'banget', 'langganan', 'dr', 'jaman']",Positive
"['sambal', 'bau', 'basi', 'digoreng', 'matang', 'rekomend', 'lele', 'fresh', 'pahit']",Negative
"['tempatnya', 'semut', 'merah']",Neutral
"['sdh', 'nggak', 'segi', 'makanan', 'beda', 'banget', 'pelayanannya', 'sdh', 'ramah']",Negative
['bagus'],Positive
"['sataynya', 'soft', 'bangetenaksangat', 'strategis', 'krn', 'sebelah', 'stasiun', 'kereta', 'api']",Positive
"['pelayanan', 'ny']",Neutral
"['dagingnya', 'empuk', 'satenya', 'gede', 'ukurannya', 'bumbunya', 'dipisah', 'bumbu', 'kacang', 'bumbu', 'kecap', 'gulenya', 'empuk', 'daging', 'gampang', 'terlepas', 'tulang', 'sayangnya', 'kecapnya', 'keasinan', 'pa', 'digado', 'pakai', 'nasi', 'ya', 'pa', 'gak']",Positive
"['manteb', 'martabaknya', 'pilihan']",Neutral
"['tutup', 'warung']",Negative
"['jus', 'kaya', 'ngga', 'pake', 'buah', 'fresh', 'air', 'sop', 'buahnya', 'air', 'ngga']",Negative
['habis'],Neutral
"['rotinya', 'empuk', 'enak', 'disajikan', 'manis', 'asin', 'campur', 'kopi', 'hitam', 'atauoun', 'kopi', 'susu', 'nikmat']",Positive
"['kosong', 'menu', 'pesen', 'pdhl', 'enak', 'rumah']",Positive
"['price', 'sadiz', 'sinting', 'gila', 'miring', 'first', 'and', 'last']",Negative
"['enak', 'mantap', 'martabak', 'telur', 'kenyang', 'n', 'enak']",Positive
"['enak', 'coklat', 'banger', 'lumer', 'didalem']",Neutral
"['hehehe', 'gara', 'nonton', 'bang', 'nex', 'carlos', 'nie', 'bandung', 'kuliner', 'beneran', 'sesuai', 'ceritain', 'sambal', 'pes', 'buncis', 'bakar', 'bertahan', 'lidah', 'maknyus', 'gelap', 'pesan', 'by', 'gofood']",Positive
"['tinggal', 'kenangan', 'langganan']",Neutral
"['kemaren', 'malem', 'pa', 'beli', 'martabak', 'ceroboh', 'jatuhinninggalin', 'dompet', 'isinya', 'kartu', 'uang', 'cash', 'lumayan', 'cari', 'dompet', 'alhamdulillah', 'disimpankan', 'petugas', 'bersihnya', 'kondisi', 'utuh', 'mantap']",Positive
"['over', 'gizi', 'udah', 'bayar', 'mahal', 'penyakit', 'mengancam', 'beli', 'tipi']",Negative
"['cuco', 'beud', 'tempatnya', 'skat', 'pertemuan', 'pribadi']",Neutral
"['nuansa', 'wahananya', 'rekomendasi', 'acara', 'keluarga', 'group', 'segar', 'udaranya', 'polusi', 'udara', 'kendaraan', 'wahana', 'air', 'hewan', 'resto', 'lumayan', 'memenuhi', 'kebutuhan', 'keluarga']",Positive
"['belatungnya', 'e', 'alpukatnya', 'masnya', 'nawarin', 'ganti', 'trauma', 'gamau', 'hati', 'aja', 'cek', 'ya', 'gaes']",Negative
"['cocok', 'nobar', 'live', 'musik', 'keluarga', 'disarankan', 'mencari', 'ruangan', 'khusus', 'merokok']",Positive
"['udah', 'kali', 'pegawainya', 'ramah', 'baikbaik', 'sopan', 'free', 'wifi', 'harga', 'yah', 'standar', 'hedon', 'haha', 'kemarin', 'pa', 'promo', 'menu', 'baso', 'aci', 'free', 'lumayan', 'suka']",Positive
"['pilihan', 'menunya', 'kasir', 'recommended', 'jawabannya', 'martabak', 'red', 'velvet', 'oreo', 'cheese', 'pesen', 'uk', 'large', 'harga', 'k']",Positive
['aja'],Negative
"['owner', 'perempuan', 'berkulit', 'putih', 'memakai', 'kupluk', 'jutek', 'karyawannya']",Neutral
"['tempatnya', 'oke', 'jelasin', 'kakanya', 'cocok', 'anakanak', 'tiket', 'masuknya', 'wonderland', 'lumayan', 'murah', 'emg', 'panas', 'banget', 'topi', 'sii', 'enak', 'mainnya', 'soremalem', 'kayanya', 'adem']",Positive
"['mati', 'lampu', 'nungguin', 'makanan', 'dtng', 'ngga', 'maaf', 'rekomen', 'bukber', 'kecewa']",Negative
"['buka', 'larut', 'malam']",Neutral
"['tempatnya', 'luas', 'rame', 'good', 'food']",Neutral
"['ikan', 'nila', 'bilang', 'kakak']",Negative
"['pentolannya', 'son', 'da', 'daging']",Negative
"['gimana', 'ceritanya', 'gw', 'pesan', 'nasi', 'goreng', 'dendeng', 'lemak', 'dendeng', 'lemaknya', 'mending', 'gausah', 'diterima', 'orderan', 'gw']",Negative
"['menunya', 'lengkap']",Neutral
"['mahaltp', 'sesuai']",Neutral
"['penyajiannya', 'cepat', 'kecewa']",Negative
"['ngaku', 'sdh', 'bandung', 'blm', 'harganya', 'relatif', 'murah', 'makanannya', 'beragam', 'enak', 'pelayanannya', 'bagus', 'ramah', 'cekatan', 'informatif']",Positive
"['makanannya', 'enak', 'life', 'music', 'oke', 'so', 'nice', 'susah', 'nyari', 'ngobrol', 'buka', 'jam']",Positive
"['nggak', 'bakso', 'titoti', 'semenjak', 'covid', 'pa', 'mampir', 'bakso', 'pilihan', 'somay', 'disamping', 'aneka', 'minuman', 'juice', 'buah', 'harga', 'relatif', 'lumayan']",Negative
['enak'],Positive
"['endeezzzz', 'bangettt', 'bakso', 'uratnyaa', 'kuah', 'taichannya', 'pes', 'mantapp', 'sambel', 'taichannya', 'enak', 'sambel', 'meja', 'kadang', 'pesen', 'bakso', 'mozarella', 'lelehan', 'kejunyaaa', 'yummyyy']",Positive
"['jelek', 'ditiru', 'pelayanannya', 'hasyeeeemmm', 'kaya', 'ketek', 'siluman', 'kinderjoy']",Negative
"['buruk', 'makanan', 'buruk', 'layanan', 'buruk']",Negative
"['nongkrong', 'diskusi']",Neutral
"['lumayan']",Neutral
"['sorry', 'gw', 'ksh', 'bintang', 'harganya', 'ga', 'make', 'sense', 'gw', 'gw', 'pesen', 'nasi', 'putih', 'telor', 'bulat', 'balado', 'ayam', 'teriyaki', 'cabe', 'ijo', 'tutup', 'cangkir', 'udang', 'teriyaki', 'ayam', 'goreng', 'tepung', 'ukuran', 'rendang']",Negative
"['ikan', 'teri', 'asin', 'ayam', 'suir', 'asin', 'jengkol', 'kera', 'makan', 'jam', 'pagi', 'mmg', 'makanan', 'subuh', 'dicampur', 'diberitahukan', 'kostumer', 'enak', 'warteg']",Negative
"['ga', 'tau', 'terkenal', 'banget', 'gue', 'aja']",Neutral
"['pilihannyaa', 'order', 'grab', 'ngga', 'nongkrong', 'dl', 'dry', 'infonya', 'rame', 'banget', 'disana']",Neutral
['pelayanan'],Negative
"['tempatnya', 'lumayan', 'nyaman', 'outdoor', 'pelayanannya', 'pesanannya', 'keluarnya', 'rombongan', 'pesanan', 'udah', 'malam', 'prepare', 'makanan', 'disajikan', 'makanan', 'disajikan', 'hotplate', 'ngga', 'panas', 'tempatnya', 'dingin']",Positive
"['gak', 'kerupuknya', 'e', 'teh', 'tariknya', 'gak']",Negative
"['empuknya', 'maen']",Negative
"['kongkow', 'oke', 'kalo', 'seneng', 'kopi', 'sreg']",Positive
"['pusat', 'bandung', 'luas', 'ga', 'ramai', 'kesana', 'weekend', 'pabrik', 'bolu', 'susu', 'lembang', 'pabrik', 'susu', 'lembang', 'harga', 'lumayan', 'mahal', 'permainan', 'anak']",Neutral
"['berturutturut', 'warung', 'pricey', 'nasi', 'sambel', 'panggangoseng', 'daun', 'kateses', 'teh', 'tawarudang', 'ekor', 'rp', 'beli', 'nasi', 'sambel', 'panggang', 'kerang', 'oseng', 'kacang', 'gimbal', 'udang', 'rp', 'lumayan', 'enak', 'kelas', 'warteg', 'harga', 'mahal']",Negative
"['satenya', 'mantap', 'layanan', 'cepat', 'ramah', 'ak', 'masuk', 'ramai', 'sempit', 'ok']",Positive
"['lumayan']",Neutral
"['lumayan']",Neutral
"['ampir', 'pengen', 'mkn', 'sate', 'ya', 'tujuanku', 'kesini', 'dr', 'rumah', 'tidur', 'kebangun', 'laper', 'ya', 'suami', 'ngejar', 'nyate', 'kesinisatenya', 'fresh', 'enak', 'tempatnya', 'nyaman', 'semoga', 'pandemi', 'selesai']",Positive
"['nongkrong', 'asyik', 'ditengah', 'kota', 'menu', 'pilihan', 'makanan', 'minuman', 'beragam']",Positive
"['pelayanannya', 'jelek', 'arogan', 'beli', 'ko', 'suruh', 'duduk', 'nada', 'payah', 'maaf', 'ya', 'orderannya', 'auto', 'cancel']",Negative
"['murah', 'enak']",Positive
"['masuk', 'rborang', 'parkir', 'rbjam', 'tiket', 'dituker', 'minuman', 'lemon', 'kopi', 'susu', 'disana', 'makan', 'pakai', 'koin', 'plastik', 'uang', 'ditukar', 'koin', 'bayar', 'makanan', 'harga', 'makanan', 'rb']",Neutral
"['enak', 'tempatnya', 'kotor']",Negative
"['bubur', 'ayam', 'h', 'amid']",Neutral
"['kualitas', 'turun', 'ga', 'seenak']",Negative
['enak'],Negative
"['dagingnya', 'besar', 'pa', 'ksana', 'sop', 'kambingnya', 'd', 'suguhin', 'ga', 'panas', 'hambar', 'sate', 'kambingnya', 'juara']",Positive
"['tempatnya', 'lumayan', 'luas', 'bersih', 'pilihan', 'tenant', 'masakan', 'padang', 'lomie', 'soes', 'merdeka', 'terpisah', 'chinese', 'food', 'harga', 'terjangkau']",Positive
"['toko', 'kue', 'roti', 'sdh', 'kesini', 'kl', 'cari', 'kue', 'soes', 'mah', 'aja', 'variasi', 'ukuran', 'kl', 'kue', 'soes', 'ga', 'pake', 'rhum', 'loh', 'tersedia', 'ukuran', 'pack', 'k', 'kl', 'ukuran']",Positive
"['pilihan', 'sesuai', 'selera', 'pokoknya', 'enak', 'banget']",Positive
"['roti', 'bandung', 'jaman']",Neutral
['pelayanannya'],Negative
"['luas', 'malam', 'masi', 'menu', 'kota', 'gorontalo']",Neutral
"['pelayan', 'ramah', 'meperlakukan', 'konsumen']",Negative
"['cocok', 'santai', 'berbisnissuasana', 'rumah', 'jaman', 'kolonial', 'estetis', 'inspiratif']",Positive
"['bakso', 'uratnya', 'enakdaging', 'sapi', 'aslisy', 'gak', 'campurberdampak', 'harganya']",Positive
"['realistis', 'aja', 'penilaian', 'tolong', 'perbaiki', 'segi', 'pelayanan', 'semestinya', 'kalo', 'permintaan', 'meningkat', 'produksinya', 'disesuaikan', 'menyalahkan', 'pelanggan', 'kecewa', 'nggak', 'kebagian', 'barang', 'nggak', 'loh', 'berusaha', 'sesuai', 'peraturan', 'bikin', 'po', 'aja', 'dikecewakan']",Negative
"['cuman', 'numpang', 'aja', 'jdi', 'beli', 'tahunya', 'drive', 'thru']",Neutral
"['enak', 'harganya']",Positive
"['harga', 'makanan', 'n', 'minuman', 'ya', 'murah', 'bersih', 'gak', 'ad', 'non', 'smoking', 'area', 'pengap']",Negative
"['jaman', 'bujang', 'anak', 'nampol']",Neutral
"['tempatnya', 'nyaman', 'pa', 'nongkrong', 'pelayanannya', 'konsepnya', 'dirumah', 'klasik']",Positive
"['nasi', 'goreng', 'pedas', 'pedas', 'ya', 'anak', 'makan']",Negative
"['berkunjung', 'tempatnya', 'bagus', 'wonderlandnya', 'jugakuliner', 'wajib', 'coba']",Positive
"['suka', 'suasana', 'jadulnya', 'kopi', 'susu', 'roti', 'sarikaya', 'lontong', 'cap', 'go', 'meh', 'juaraadi', 'weekend', 'orang', 'rela', 'antre', 'sampe', 'luar', 'dapet', 'ya', 'jabanin', 'aja', 'ntar', 'kebagian', 'saran', 'kalo', 'weekend', 'mending', 'pake', 'motor', 'drop', 'taxi', 'online', 'krn', 'susah', 'parkirnya']",Positive
"['kirain', 't', 'menu', 'mirip', 'pesan', 'iga', 'penyet', 'sambal', 'level', 'pedas', 'sya', 'suka', 'pedas', 'level', 'pedaspun', 'ga', 'pedasnya', 'sambal', 'add', 'charge', 'ya', 'pesan', 'sup', 'iga', 'kuahnya', 'dingin', 'kuah', 'bening', 'polo', 'isi', 'apapun', 'add', 'cahrge', 'ya', 'beda', 'sebelah', 'disediakan', 'gelas', 'isi', 'air', 'panas', 'rendam', 'alat', 'makan', 'gelasnya', 'bekas', 'saus', 'gitu', 'ga', 'difoto']",Negative
"['cepat', 'saji']",Neutral
"['mantabsss', 'makanannya']",Neutral
"['olahan', 'mentah', 'jadikan', 'oleholeh', 'susu', 'makanan', 'minuman', 'e', 'krim', 'buah', 'sosis', 'bakar', 'susu', 'kedelai']",Neutral
"['mantaaap', 'masakannya', 'enak', 'mahal', 'enak']",Positive
['enak'],Neutral
"['daging', 'babi', 'sa', 'masuk', 'rumah', 'makan', 'dhe', 'solo']",Negative
"['tempatnya', 'luas', 'wisata', 'edukasi', 'pembuatan', 'faslitas', 'memadai', 'area', 'parkir', 'luas', 'toilet', 'mushola', 'playground', 'restaurant', 'oleholeh', 'area', 'pembuatan', 'masi', 'cocok', 'pelajar', 'lintas', 'kurikulum']",Positive
"['nyaman']",Positive
"['tempatnya', 'standart', 'sesuai', 'harga', 'bakso', 'enak', 'meja', 'kursi', 'mepet', 'jdi', 'terkesan', 'sumpek', 'smoga', 'kritik', 'wagu', 'maju', 'aamiin']",Negative
"['gelas', 'pake', 'gelas', 'plastik', 'n', 'bersih', 'menu', 'kosong']",Positive
"['standar', 'nunggunya', 'bakaran']",Neutral
"['warga', 'lokal', 'kali', 'makan', 'ayamnya', 'enak', 'empuk', 'trs', 'sopnya', 'juara', 'kali', 'kecewa', 'pelayanannya', 'komplain', 'tumben', 'ayamnya', 'alot', 'eh', 'si', 'masnya', 'ya', 'rejekinya', 'mbaknya', 'dpt', 'alot', 'ayamnya', 'betul²', 'alot', 'tau', 'tempatresto', 'menerima', 'komplaintidak', 'istri', 'dipandang', 'sebelah', 'mata', 'tolong', 'sop', 'pelayanan', 'dibenahi']",Negative
"['sate', 'kambingnya', 'empuk', 'juicy', 'rekomen']",Neutral
"['salah', 'produksi', 'showroom', 'menjual', 'hasil', 'produksinya', 'terletak', 'daerah', 'lembangbandung', 'hotel', 'grand', 'lembang', 'lembut', 'selembut', 'susu', 'susu', 'lembang']",Positive
"['enak', 'fav', 'ngopi', 'cafe', 'kota', 'cimahi', 'menu', 'bervariasi', 'harga', 'bersahabat']",Positive
"['top', 'banget', 'harga', 'sebanding']",Neutral
