summary,text
Setelah hibernasi seharian,"Seharian hujan, mager. Akhirnya makan di tempat dekat rumah. Tempat makannya besar dan bersih sesuai prokes tapi sayang pelayanannya ajubile karyawannya kurang responsif.Sambil nunggu makanan jadi, bisa main boardgame disana.1. Nasi Goreng Mongkok : oke, ga pedes dan bumbu masakannya meresap2. Lontong Cap Gomeh: Juara 😍😍😍3. Taichan Original : enak, dagingnya di grill 👍4. Nasi Bakar Sule: ga rekomen 😅😅 bumbunya ga meresap dan ga wangi5. Gorengan: ""B"" aja"
Lumayan juga,"Perdana order makanan di sini lewat aplikasi. Gw order Lontong Sayur Sate Buntel (23 K), Bakso Cuanki (28 K) dan Nasi Bakar Ikan Cakalang Teri (30.8 K).Lontong sayurnya sih gw suka sama kuahnya karena wangi & cukup pekat rasanya, tekstur lontongnya sedikit terlalu keras & satenya biasa aja sih malah cenderung kurang berasa gurih.Kalau bakso cuankinya lumayan rasanya, kuahnya cukup enak walaupun beberapa gorengannya tuh terlalu keras kayak udah melempem gitu. Trus gw pikir dikasihnya sambal merah goreng gitu tapi ternyata dikasihnya sambal ijo yg menurut gw agak kurang cocok sih.Untuk nasi bakarnya porsi nasinya mengenyangkan banget, porsi ikannya lumayan lah walaupun ga sebanyak nasinya & dikasih 2 potong tahu goreng gitu.Overall untuk rasa makanannya lumayan, tapi ga sampe wow yg bikin kepengen lagi gitu sih. Mungkin ada menu lain yg lebih ok rasanya untuk diorder next time."
Indonesian food,Mantap makanan indonesian banget cocok untuk hangout bareng teman
Makanan lokal @WK Kitchen,"Tempatnya cozy, luas jadi ngga akan berdempetan sama orang sekalipun full keisi ruangannya. Mereka juga sediain board game untuk pengunjungnya biar makin betah lho. Ada 2 bagian yaitu outdoor dan indoor, yang outdoor tempatnya ngga begitu luas karena kaya cuma buat ngerokok gitu kayanya. Nyobain beberapa makanan lokal selama di sini:- Nasi Gurih Jeruk Rendang Sapi + Telur BaladoMenu ini lumayan pedes, kalau ngga suka pedes lebih baik request buat dikurangin tingkat pedasnya. Rendang sapinya punya tekstur yang superrr empuk dan kenyalm ngga kaya rendang pada umumnya. Which is good karena gigitnya ngga perlu effort keras banget.- Nasi Goreng PandaIni makanan juga lumayan pedes, toppingnya ada beberapa yaitu Sunny Side Up, Karage dan Jamur yang cocok banget buat dimakan bebarengan.- Lontong Cap GomehTekstur kuahnya light alias lumayan encer, tapi menurut aku bumbunya masih gurih kok. Kontennya cukup banyak, mulai dari sate buntel, telur, ayam, kentang balado sampai krupuk.- Soto Betawi SapiKuahnya agak minim, tapi isian daging sapinya banyaaakk- Nasi Bakar SuleRasa & isiannya enak, isiannya seperti biasa ngga pelit kalau di sini hehe. Tapi ayamnya memang kaya kurang gosong ala-ala kebakar gitu menurut aku(?)- Taichan KrispyGapernah nyobain taichan digoreng krispy begini sebelumnya wkwkw, rasanya unik kaya ayam fillet goreng yang di tusuk jadi sate. Bumbunya cocok banget sama selera aku, gurih-asin yang ngga lebayyy. Jadi masih bisa dinikmati buat nyamil/dimakan sama nasi sekalipun- Pisgor Goreng Butterscoth & Pisgor Choco CheesePisang Goreng yang cocok banget buat nyemil, ngga terlalu manis jadi ngga bikin eneg menurutku. Isiannya juga lumayan banyak lho buat ukuran nyemil, bisa kenyang sebelumm makan beneran wkwk- Taichan OriginalTaichan pada umumnya dengan daging yang lembut tapi tetep mateng, no worries! Selain itu sambelnya juga okaay, yang gasuka pedes masih bisa nikmatin ini menurut aku- Tahu telurTahu telur di sini agak beda rasanya, mereka mix dengan rasa jeruk yang hasil finalnya lebih ke Tahu Telur yang dominan asem instead of manis yang lebih banyak kita temui- Milo DinoMilo Dino ini atasnya dikasih bubuk dari susu tabur yang rasanyaa makin manis. Buat pecinta manis wajib banget cobain ini!"
Wk Kitchen,"Makanan :• Soto BetawaiPotongan dagingnya banyak isiannya dilengkapi dengan tomat dan kentang tapi rasanya sedikit kurang asin• Lontong Cap GomehIni enak berasa lagi makan pas lebaran cuma kurang gurih dan kurang kental karna kuahnya encer banget• Nasi Goreng PandaUntuk yang ga suka pedes hati2 makan menu ini karna banyak potongan cabe untuk rasa hmm biasa saja tapi gue suka sama chicken karagenya• Nasi Gurih jeruk Rendang SapiIni tu kaya nasi liwet tapi nasinya terlalu kering eh btw rendangnya enak dan empuk• Nasi Bakar SuleNasar bakar yang kurang dibakar si menurut gue hehe rasanya enak dan isiannya juga banyak• Taichan KrispyIni tuh jatohnya kaya chicken karage cuma ditusuk aja jadi kaya sate tapi rasanya enak dan potongannya gede gede• Taichan OriginalBiasa aja sambelnya tidak terlalu pedas dan porsi sambelnya dikit• Tahu telurGue first time banget makan ini makanan dan rasanya sangay tidak cocok dilidah gue• Pisgor Goreng Butterscoth• Pisgor Choco CheeseUntuk kedua pisang ini enak rasannya cuma kurang lumer aja isiannya heheMinuman :• Seteko Teh JaheInii enaaakkk jahenya berasa banget dan aroma pandannya tidak terlalu dominan, smell so good• Milo DinoHmm milo dino pada umumnya• Brown Sugar Thai TeaSusu banget rasanyaaaa jadi kaya bukan thai tea• Es kopi KampoengSumpah ini pait bangeeeeeettt• Iced Lemon TeaRasanya seger yaaUntuk suasana oke tapi acnya agak kurang berasa ya… untuk harga murah kok"
Indonesian Comfort Food,"WK Kitchen, spesialis masakan Indonesia. Yang bikin unik ada piring/mangkoknya pakai gambar ayam jagonya, bener2 Indonesia vibes banget deh. Selain itu mereka juga menjual piring/mangkoknya lho! Well disini aku cobain beberapa menu, yaitu:1. Lontong cap gomeh  Kuahnya gurih, isiannya lengkap, porsinya mengenyangkan. Aku suka banget, pas cobain nagih gitu rasanya.  2. Taichan krispy  Pertama kali cobain taichan versi ini, dan enak! daging ayamnya tebel empuk gitu, lebih nikmat lagi pas dicocol ke sambel.  3. Nasi bakar sule  Ayam cabai di dalam nasi tersebut enak dan ga pelit isiannya.  4. Nasi gurih jeruk rendang sapi   Daging rendangnya super empukkk dan lembut. Kalian wajib cobain ini sih..  5. Soto betawi sapi  Isian daging sapinya ga pelit, kuahnya kurang sedikit gurih tapi masih oke.  6. Tahu Telur  Untuk rasanya menurut aku agak baru gitu, karna kuah asemnya.  7. Nasi goreng panda  Nasi gorengnya tuh ada potongan cabai di dalamnya, kalau suka pedes pasti suka sih. Yang bikin unik tuh ada jamur krispynya~  8. Pisang goreng choco cheese  Aku suka pisgornya, apalagi kalo dimakan pas lagi hangat2  9. Seteko teh jahe  Tehnya enak, kaya buat teh detox gitu deh rasanya. I luv it!"
Wk kitchen! Pilihan menu nya banyaak,"Makanan:- taichan ori- taichan crispyAku lbh shka yg crispy, krn daging lbh tebel & asin hehehe tp emg somehow jd kek karage d tusuk. Haahah sambelnya enak! - nasi soto betawai sapi. So-so rasanya tp krg gurih. - lontong cap gomehIsinya ad ayam, sate buntel, telur, kerupuk dan kentang balado. Cukup full isinya. Rasanya ok. Porsinya cukup bgt- nasi bakar suleIsinya ayam cabe gt dan ad tahu tempe. Isian ckup banyak tp nasinya kurang kebakr mnurut ku wkwkwk- tahu telor Mnurut ku krg otentik. Ad kuah nya agak asem. Bumbu kacangnya kurang medok juga. - nasgor panda. Suka krn pedes!! Ad topping karage & jamur & sunny side up.- nasi gurih jeruk + rendang + telur baladoBuat ku ini menu yg paling pas di lidah! Wajib cobaaDan rendangnya empuuuk sekalee..- piscok coklat keju & butterscotchWell.. ckup enjoy sm yg coklatkeju. Tp yg butterscotch… ga ky butterscotch wkwkw cm manis asal lewat gtuu Minuman:Aku coba yg teh jahe!Unik & bisa netralin rasa gitu.. rekomen dehh…"
Tempatnya Enak,"Sate taichan ternyata ga cuman polosan doang lho. Ada yang crispy juga kaya yang aku pesen ini.Kita bisa pilih mau dada atau paha.Kalau mau sate taichan yang original juga ada.Disini aku pilih yang Jomblo (isi 10 tusuk). Mau lbh byk lg? Pilih aja Double Kill (isi 20), Monster (isi 30) atau Big Momah (isi 50)..Walaupun namanya warung bukan berarti kaya warung biasa ya. Tempatnya enak buat makan dan nongkrong, trus ada wifinya juga lho...📸 Sate Taichan Crispy Jomblo💰 IDR 24K🏠 @warung.kukuruyuk📍 Jl. Kelapa Gading Selatan Blok AH10 No. 19 Gading Serpong, Tangerang"
Piring Ayam Berkokok,"Follow my ig = @duocicipMenu ke-1: Taichan Crispy Jomblo (24k)Hayo siapa yg pernah coba taichan goreng??? Sate ayam yg disusun dlm stik lidi bentuk sate tp digoreng. Nah loh jdi sate goreng😁 Pas taichannya dateng wanginya uda mengundang buat disantap bgt😍 crispynya sukaa dan ada gurihnya seperti crispy ayam goreng gitchu. Dagingnya masih juicy dan padet bgt👌💯 Sambelnya kaya taichan biasa ya, agak pedes. Kenapa disebut taichan crispy jomblo?🤔 mungkin krn isinya 10 jdi pas dimakan sndri a.k.a jomblo...ups😬.Menu ke-2: Miso Ayam Medan (34k)Udah lamaaa bgt ga makan miso. Kebetulan ada di dlm menu, jdi langsung pesen dehh😁 Wangi bgt pas disajikan😍 Kuahnya berasa kaldu+aroma herbal👌 Tahu gorengnya lembut tp ga garing dan kurang seasoning. Tahunya bukan yg kopong yaa😊😊 Wortelnya masih crunchy krn bukan yg dimasak terlalu mateng. Ada 4 pcs baso dari sapi cincang🐄🍡 Bener2 full daging dan aroma sapinya kuat💯😍 baksonya good seasoning👌 Mie kuningnya terlalu lembek dan lengket di mulut😣 Bihunnya dimasak pas. Suwiran ayam goreng cukup banyak🍗 Kucainya terlalu sedikit🙁 Mnrut cici DC disini juaranya kuahnya, bihun, dan bakso😍💯.Tempatnya nuansa kuning hitam, adem karena ber-AC dan luas bgt. Ada 2 lantai tp yg lantai 2 ditutup pas cici DC dteng. Diputerin lagu2 jdi suasananya asik gtu, cocok buat yg mau ngerjain tugas. Ada smoking area jg di luar. Pelayannya banyak dan gece👌 plus sopan👍🏡Rating place : 8/10💃Rating service : 8/10😋Rating dish : 8/10"
Anak kupon,"Tanggal tua tapi masih pengen jajan trus nongki, eh liat kupon pergi kuliner ada b1g1 salah satu nya warung kukuruyuk yg berdekatan dengan kantor yekan. Berangcusss..Dari tempatnya sendiri diluar ekspetasi karna yg ku banyangkan hanya resto kecil, ternyataa tidak tempatnya cocok buat nongki bgt dan disediakan board game loh makin betah deh. Dan untuk makanan ku kira semua menu ayam ternyata tidak jugaa banyak macam pilihan rasa mie yg menggugah selera ingin ku pesan semua. Pelayanannya cukup baik dan sangat ramah melayani anak promoan ini. Ok dari segi rasa ya masih bisa dimakan dan lumayan cocok di lidah karna aku minta cabe potong lagi kalo ngga, ya ndak pedes.Salam,Anak kupon"
Cukup kali ini udah gak mau kesini lagi,"PAke kupon BOGO perkul makan disini. Awalnya seneng sih kesini, tapi lama-lama kok tiap kali dateng nyebelin ya.Selain lama, pelayannya nyebelin banget. Gak paham ditraining apa enggak, apa emang dibiarin aja gitu.Awal duduk aku dikasih menu, terus dia bilang pesennya sendiri, tulis kode2nya sesuai aturan biar ga bikin bingung bagian dapurnya.okeh, aku tulis sesuai aturan, meskipun tu kode2 bikin ribet mumet.Terus aku tanya ""Mba aku pake kupon pergikuliner bisa?""Dia jawabnya ""gtau ya kak, tanya sendiri aja ke kasir."" terus dia pegi aja gitu.Terus aku panggil lagi, yang dateng mbak yang sama. Aku bilang, ""saya ada kupon, bisa dipake apa enggak? yang tau tentang kupon ini siapa?""Akhirnya dia manggil temennya, terus untung temennya ngerti dan langsung bilang ""iya bisa kak. mau pesennya apa?""Terus aku kasih tu orderan ke mas-nya dan dicekin, bener.Masnya nawarin kalo posting ke IG, dapet free minuman. Yaudah kita posting 2x dengan account masing-masing. Tunjukin ke Masnya, minta barley sama lo han quo, tp yg dibikinin barley dua2nya dgn alasan lo han guo-nya blm ready. Lah ga konfirmasi dulu kok ya? apa karena free jadi pelanggan ga berhak ditanya dulu?Kekesalan berikutnya terjadi, roti srikaya yg kita order dari awal, sampe 1jam-an, sampe temen yg lain ud dateng lagi, blom jadi-jadi juga. Minum sampe abis, lama banget bikinnya. Gak ngerti deh, padahal yg dipesen cuma roti bakar srikaya. Pas dateng juga y udah kita liatin gada susah2nya keknya bikin tu roti. Heran.. untung pas dimakan lumayan enak tu roti.Puncaknya adalah pas bayar di kasir. Kan buy 1 get 1 ya kuponnya.Terus minuman yg dikasih kan free ya. Masa cuma makan Ropang buterscoth sama pisang goreng pake 2 topping totalnya hampir 90rb. Harga di menunya si ropang banana butterscotch cuma 25rb, terus si ropang pake 2 toping 18rb+8rb+6rb. Masa total sampe mau 90rb, trus buy 1 get 1-nya cuma dipotong 20rb. Jadi aku bayar 60rb, sampe bingung nanya masnya, trus mas-nya kayak ga menjelaskan gitu. Cuma bilang, ""gtau di bon keluarnya gitu"". Kesel gak?Udah ah gmau lagi ke sini.Ratenya 1 aja smuanya, staffnya juga gitu pengetahuannya gada sama sekali. Ditanya2 menu bilangnya gak tau, ga ngerti dan malah nyuru baca sendiri. Udahlah tax sama servicenya dobel2, pelayanannya kek gitu."
"Tempatnya nyaman, makanan cukup ok lah","Tempatnya ternyata lucu, interior dan pencahayaannya bagus, cukup nyaman untuk nongkrong.Variasi makanan cukup banyak, rasanya standard lah, enak tapi tidak terlalu spesial.Order Sate Taichan, request mixed bakar dan goreng.Lebih enak yang goreng sih, juicy-nya lebih berasa, tapi sayang satenya kurus .Kwetiaw Siram SapiRasanya lumayan, dengan taste dominan manis, tapi isian sapi-nya ga keliatan, lebih banyak jamur-nya.Overall boleh lah buat tempat nongkrong2 untuk ngemil cantik, ada permainan juga di sana."
Bihun kari ayam,"Kesini sekitar jam setengah 11, masih sepi terus coba tanya dulu ke salah satu waitressnya bisa gak pake kupon perkul tapi rada bingung gitu pas ditanya. Yaudah kita pesen dulu, pertama pesen bihun kari ayam ini sih penasaran karna review sebelumnya enak. Terus pesen cemilannya mix fries gitu, sama es teh manis.Nah untuk cemilannya ada kentang, sosis, nugget, sama ikan deh kalau gak salah itu sih enak kok 👍🏻Untuk bihun kari ayamnya juga enak sih sebenernya, tapi mungkin pas kita dateng kurang asin dan gurih rasanya, alhasil kita minta garam tambahan tapi tetep aja rasanya kurang gurih. Untuk rasa rempahmya sih udah dapet banget, karena kaya akan rempah sekali bihun kari ayam ini. Oh iya kan ada kentang ya di bihun kari ayam ini, nah kentangnya masih kurang mateng nih alias masih keras gitu pas digigit. Tapi kita kurang tau sih apa emang begitu kali ya kalo makan bihun kari ayam kentangnya sengaja agak keras🤔🤔Untuk tempatnya nyaman banget, pelayanannya juga ramah ramah👍🏻"
Kupon perkul,"Pertama kali kesini hari minggu kemarin pakai kupon perkul. Tempatnya nyaman untuk santai2 nongkrong2, pelayanannya ramah dan cepat tanggap.. untuk dr rasa makanan lumayan aja sih masih banyak yg perlu ditingkatkan lagi. Menu yg di pesan kemarin...nasi goreng pete enak tapi agak keasainan...indomie  kari special ada extra ayam karinya lumayan....cakwe gorengnya keras dan agak kegosongan dr rasa masih kurang dapet mantulnya. Pisang goreng lumayan. Minuman avocado pinknya mayan ok. Es krim enak dan ada roti bakar gula menteganya dipinggirannya."
Tempat nongkrong asik bareng keluarga,"Krn sering lewat dan tempatnya kelihatan menarik jd akhirnya nyoba ..Lokasi : strategis, tdk susah cr parkir, bkn tmpt parkir berbayarSuasana :adem berAC, luas, nyaman, kids friendlyPelayanan :karyawan sgt friendly dan helpful, nothing to complain about serviceMakanan :Tampilan dan sajian nya cakep, gk jauh beda dr tampilan di menu (biasanya tampilan di menu cenderung hoax, nyampe di meja beda bgt). Dari segi rasa sih enak, cocok dgn taste kami sekeluarga.Review menu yg dipesan :- Kids menu yang teriyaki dgn minuman susu blueberry : anak sy suka bgt.. tampilan nya lucu, porsi nya pas utk anak2, rasanya jg enak. Sop sm teriyaki nya doyan bgt dia. Minuman nya jg enak. 👍- Nasi goreng kampung : enak .. walaupun gk special2 gmn.. tp puas sm rasanya. Ada dpt ayam goreng jg. - Nasi + kari ayam : karinya enak bgt.. ayamnya udah abis jg masih diseruputin kuah karinya. Beneran enak sih .. recommended ini kari nya 👍- Pisang bakar + sauce srikaya : dr segi rasa enak bgt.. pisangnya lembut, srikaya nya kental gurih manis 👍 tp porsinya lebih kecil dari yg dibayangkan- Chocolate & Strawberry Ice Cream : kl di menu kan tampilannya pake gelas sundae dan ada atribut astornya, pas dateng ke meja ternyata .... sama dgn yg diliat di menu 😙 plus di bagian bawahnya ice cream ada roti bakar yg dipotong2 kecil gt. Inu recommended juga 👍Extras :Ada banyak boardgame .. ada catur, uno, ular tangga dkk. Overall kami enjoy spend time di sini and definitely wil return. Sekian. Terimakasih"
Santai sejenak,"Lagi jalan ke Gading Serpong ketemu tempat nongkrong yang nyaman & luas (2lantai), full musik dan ber AC pastinya.Tersedia banyak varian menu makanan & minuman kekinian yang OK punya seperti : Nasi Goreng, Geprek2an, Indomie, Nasi Gurih, Sate Taichan, Ropang, dan masih banyak lagi.Disini kita juga bisa membeli aneka perabotan makan dan masak bernuansa ayam loh..lucu & imut!"
Kukuruyuk...,"Follow My IG @couplefuntripculinaryGak sengaja lagi iseng main ke daerah serpong, dan berasa laper muter2 alhasil ketemu ya sudah deh coba mampir aja krn liat dekorasi nya cukup menarik modern gitu..Dan untuk menu2nya yaitu :-. Nasi Gurih + Rendang AyamIni si sebenernya nasi uduk gitu,dan nasi uduknya menurut kita masih ok ada wanginya tp gak yg banget,ayam gorengnya terbilang kecil si haha,tp bumbunya masih ok terasa kok jd overall ya just ok-. Nasi Kulit Crispy Telur Asin + MozarellaMenu ini menurut kita biasa banget si untuk rasanya std banget...dan kulitnya itu dikit banget...-. Nasi Kari AyamKari ayamnya bertekstur kental,dan untuk rasanya kita suka krn kerasa gurihnya,hanya rempahnya kurang terasa..dan daging ayam nya ya meresap dan empuk-. Taichan CrispySate taichan ini kita suka banget,dari bumbunya gak terasa asem seperti taichan pada umum nya,dan pedesnya masih normal si hehehehe"
"Nama bole warung, tp ga nyesel banget ke sini, cozy abis","Hepi kmrn Jalan2 ke gading serpong, ada tempat nongkie dan makan kekinian, pikirnya cuma jualan indomie aja, ekh ekh, ternyata varian makannya milenial banget, ada ayam geprek jg, Nasi gurih, roti, taichan, nasgor, miesop dllApalg minumannya kekinian jg. . Tempatnya cozy bikin hepi, ditambah makanan enak, beuh puas pokoke, omdojan cobain Nasi gurih Ayam Sambal Rica, Nasi gurih seperti Nasi uduk gitu, wangi dan gurih, dipadu ayam sambal Rica yg pedasnya nampol, duh bikin ketagihan..📷 Nasi gurih Ayam Sambal Rica📍 @warung.kukuruyuk, gading serpong, tangsel📍 Telp & WA 0818 3434 49👅 Taste 8.5 Dr 10🏠 Area 9 Dr 10 (gede, cozy, 2 lantai)✔️ HALAL"
Warung Indomie Kekinian,"Lagi hits nih warung kukuruyuk, selain tempatnya nyaman, makanan dan minumannya juga enak dan gak terlalu mahal.kali ini ordernya banyak hahahaa- taichan crispy- indomie kuah telor keju- kwetiau goreng telor- indomie ayam geprek- tahu crispy- jamur crispysemuanya enak, bumbunya pas, dan indomie di sini dimasaknya juga enak hahaa..paling kece si taichan cripynya, jadi ini sate taichan yang di goreng tepung gitu. Ih wow banget deh, sambel taichannya juga pedes-pedes mantep gitu."
Nasi Soto Medan nya Enak,"Resto nya cozy, banyak mainan untuk hang out & makanan2nya enak2 ( terutama kwetiau siram beef & nasi soto medan daging ) top banget  harga2 nya jg terjangkau"
Kwetiau Siram Beef nya JUARAAA,"Siapa disini yg suka kwetiau siram??Kalian wajib mampir ke Warung Kukuruyuk yg ada di samping Mall Sumarecon Serpong, disini kwetiau siram nya juara, aku pilih yg beef dan mreka pake slice beef pilihan jd dagingnya empuk bgt trus ada jamur,telur + sayuran nya. Kuah nya enak gurih,berasa bawang putihnya. Tempatnya juga cozy nyaman banget, adem pula.Next aku mau coba menu menu lain yg ada disini, kayaknya sih enak enak semua yaa"
Indomie Bakar?? Whattt??,"Sering makan nasi bakar.. tapi Indomie bakar baru ini... Penasaran jadi aku pesen... Ada ayam basil & ikan peda.. JD Aku pesen yg ayam.. well..  rasanya enak, kemanginya kerasa.. Aku suka... Cuman waiting timenya agak lama.. sekitar 15 menitan. Mungkin proses masaknya emang lebih ribet.. but worth trying."
Impessive Nasi Goreng Kampung!,"Dapat referensi buat cobain cafe ini dari perkul. Cus lah..Begitu masuk tempatnya oke, rapi dan bersih; Sudah dapat good feeling.Lanjut pesan 2 menu dan cukup 1 minum saja.Rice Bowl Ikan Sambal Matah: Ikan digoreng tepung,lalu diberi toping sambal matah plus telor ceplok 75% done. Overall enak, rasanya ikannya dapet, sambalnya enak ditambah kuning telur yang mencair di nasi panas bikin nilai tambah plus.Nasi Goreng Kampung:Untuk yang ini rasanya hampir mirip dengan nasi goreng tek2 yang dulu tiap 2 minggu saya samperin entah untuk pesan nasi goreng atau ropangnya,tp sayangnya udh tutup sejak bbrp tahun lalu..THE DORMET (gading serpong) Avocado Juice:Not really jus alpukat,somehow dibikin kayak smoothies....jadinya ya begitu. Saya pribadi sih ga gitu suka."
Hadiah Giveaway Geprek Magnificent,Ga nyangka sih dapet GA ini... dan H+3 gw dateng juga kesini.Kaget waktu menu hadiah nya dateng Plating di atas cobek gede. Isinya macem2 ayam telor bakso pete jamur tempe tahu.Sambel 3 macem. Matah gepuk sama bawang. Pedes nya ga terlalu... rasa ayamnya standar aja. Ok lah... apalagi gratisan heheTempat disni ga perlu di raguin lagi. Lantai 2 juga lagi renov mau buat game2 gituEnjoyy...!!!
Another cozy place with good food di Gading Serpong,"Nih ya.. kebiasaan kalo ada yang kalap makan, dia order makanan banyak banget dah hahahha..- mie sop- tahu tempe krispy- sate taichan- nasi pake b- jamur crispy- nasi goreng tomyam- chicken basil- chicken sambel matah- beef blackpepperRata-rata enak dan tasty. Paling berkesan sih mie sop-nya ya, meskipun gak kayak mie sop medan hehe. yang lain juga lumayan enak untuk harga yang cukup bersahabat di kantong. Kita paling suka sama taichannya. Taichannya bisa pilih dada atau paha, ini coba yang dada sesuai rekomendasi mas-nya. Si taichannya gurih dan seger gitu sambelnya, apalagi tambah diperesin si jeruk nipisnya, makin mantap jiwa deh. Daging ayamnya juga masih juicy.sambel matahnya juga enak, wangi bawang dan lumayan pedes.Untuk nasgor tomyam biasa aja, cuma bau-bau tomyam dan agak asem dikit.buat ngobrol-ngobrol tempatnya kece juga sepertinya.."
Kali kedua kesini dong...betah,Pulang kerja aku kesini dong...Mau coba menu baru... kali ini kwetiau siram + snack platterKwetiaw siram seafood  enak parah...bakal ketagihan gw ini mah....Snack patternya ada sosis sama kentang. ..Enjoyyy
Mungkin salah pilih menu,"Udah lama tau resto ini, tapi baru nyobain akhirnya setelah kebingungan mau order apa lagi di apps ojol.Gw order menu Dory (37.5 K) & Gyupereku Ginza Kare (52.5 K).Dari segi porsi sih pas, tapi rasanya biasa banget sih. Tepung dorinya tuh malah kayak ga dibumbuin gitu karena ga ada rasanya, cuma rasa tepung goreng aja. Trus sapinya juga ga berasa ada karenya sih, teksturnya sih ok & masih juicy.Entah gw yg salah pilih menu atau gimana"
Chickpureku,"Makan malamnya setelah berkuliner di Serpong ini, mampir d ke @gepureku yg ada di Ruko Golden 8 ini.Meja makannya ala2 Jepang, lucu jg sih.Menu mereka ada yg Non Halal yah.Sy order cukup byk sih krn makan sekeluarga, enaknya jd bisa icip2 🍽️ Chickpureku : nasi dgn ayam dada fillet digeprek, dgn tingkat kepedasan yg bisa di request.. sy level sedang, pedesnya berasa bgt, tp bikin nangih ga stop2 makan. Disajikan dgn telur ceplok bisa matang atau setengah matang.🍽️ Porkureku : sedangkan ini menu Non Halal nya, babi geprek, hampir sama dgn menu Chickpureku koq.🍽️ Gyupureku : nasi dgn irisan daging sapi, rasanya jg lumayan enak.🍽️ Hokkaido : ini jg nasi dgn potongan daging sapi, yg empuk n juicy bgt.. disajikan dgn nasi putih.🍽️ Torikawa : kulit ayam digoreng kering"
MAKANAN FAVORIT,Jangan lupa follow ig kita @tepokperut #tepokperutHari ini gua cobain makan favorit gua gepreku yang pork plus salted egg and super pedas minta telor omega ya setengah mateng rasanya mantabbb parahhhh bikin nagih 🤪
gyupureku,"Aku pesen gepureku via ojol. Pas dateng keliatannya kecil gitu ternyata isinya mayan banyak, cukup kenyangin lah buat maksi. Aku pesen gyupureku, isinya nasi, beef sama sunny side up gitu. Menurut aku menunya ini mirip banget sama yoshinoya, jadi berasa kayak lagi makan yoshinoya bedanya yang ini ada telurnya. Untuk rasanya sih lumayan ya, dagingnya empuk dan rasanya enak, cuma ga pedes aja."
Gepureku,Jangan lupa follow ig kita @kenyangbegox #kenyangbegox Tempat makan geprek favorit kami pesen porkreku satu pake kare satu lg pake salted egg rasanya enak and porsinya super banyak gabakal rugi makan disini super puas jaranf nemu geprek babi 😍😍
Tempat makan favorite,"Jangsn lupa follow ig kita @kenyangbegox #kenyangbegoxlagi lagi makan di gepureku karena ada menu baru namanya mentai bowl kami pesen yang beef rasanya sih kayak makan sushi aja ga ada bedanua ada crab stick sati mentai and beef mungkin karena kami makan yang menu biasanua di gepureku ini menurut kami buka selera kami tapi gatau konsument lain , kami pesen hokkaido enakk banget tapi dagingnua kursng lembut aja , untuk porkreku udaj paling andalan enaknua pol dincampur jamurekku and torikawa makin mantab , ice cream mochi enak banget rasanya matcha enakk"
Kok Gini??,"Jadi lg nyari referensi makanan di perkul trus nemu ini, reviewnya bagus2 jg jadilah memutuskan untuk langsung order. Pesen yang porkureku alias babi gepreknya. Pas lg laper2nya nih jd berharap porsinya gede. Begitu datang hmhm ternyata porsinya kecil, gak tau ya apa mngkn kalau makan di tempat porsinya lbh bnyk. Dan porknya keras bgt, kyk yg udh di goreng 2x gt. Sempat mikir ini apa gw lg apes dptnya begini apa ya. Bumbunya jg dikit dan hampir gak berasa, jd kyk cm berasa babi di goreng gt aja.  Satu2nya yg enak menurut gw adalah telor omeganya. Dan packagingnya cukup oke."
Geprek babi and halal enak bangett,jangan lupa follow ig kita @kenyangbegox #kenyangbegoxYang pingin geprek tapi babi ini mereka sediakan dijamin enak banget ga nyesel nasi banyak babi banyak uga tambahin topping kari beh enak banget tempat cozy banget ocha refill sampe kembung boleh dicoba kami suka banget tapi ada halal juga enak jugaa ayam sama sapinya
Cabang Dengan Tempat Yang Lebih Nyaman,"Hellooo Foodies! Gimana kabar kalian? Kali ini gua mau berburu salted egg rice lagi nih. Dan sasaran gua kali ini adalah Gepureku yang letaknya ada di Summareccon. Gepureku di summareccon letaknya gak jauh dari b'steak grill & pancake. Dan oulet yang di sini berupa ruko dengan suasana yang nyaman dan sejuk. Interiornya simpel dengan sedikit dekorasi ala jepang.Bicara soal menu, gepureku menjual salted egg rice sebagai menu utama mereka. Mereka ada Chicken salted egg, dori salted egg, bahkan ada salted egg pork. Berbeda dengan outlet yang ada di grogol, di sini ada menu non halalnya.Chickpureku Salted Egg (IDR 37k) Menu ini adalah menu rice box yang tersiri dari seporsi nasi hangat, ayam goreng, telur mata sapi, dan saus telor asin. Dari segi penyajian gua lebih suka outlet yang di sini, karena menggunakan mangkok, jadi lebih bagus pas di foto hehehe. Dari segi rasa menurut gua enak banget. Nasinya bener panas dan pulen, telur mata sapinya juga lembut dan pas seasoningnya. Ayam gorengnya super gurih, crunchy diluar, lembut di dalem. Saus telur asinnya salah satu yang terenak yang pernah gua makan. Dari segi porsi menurut gua lebih besar di sini dari pada yang di grogol. Overall untuk menu ini, VERY GOOD!Overall gua puas banget dengan gepureku. Makanan yang mereka jual dari segi rasa dan kualitas sangat memuaskan. Next time gua akan ke sini lagi untuk makan salted eggnya."
enakkk,Makan ayam geprek unik
